id,date_found,source,type,montana_specific,national_eligible_for_MT,title,description_short,company_or_agency,deadline,proof_required,url_info,url_claim,status,priority_for_user,date_added,category,money_speed,difficulty,proof_simple,state
OPENCLASSACTIONS_00011,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$1.2 Billion Discover Merchant Card Fees Settlement,"$1.2 Billion Discover Merchant Card Fees Settlement Deadline: May 18, 2026 Without Proof: Varies With Proof: Varies Submit Claim",,5/18/2026,easy,https://openclassactions.com/settlements/discover-merchant-fees-settlement.php,https://openclassactions.com/settlements/discover-merchant-fees-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00012,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,HelloFresh Automatic Renewal $7.5M Class Action,"HelloFresh Automatic Renewal $7.5M Class Action - California Deadline: December 17, 2025 Without Proof: N/A With Proof: Varies Submit Claim",,12/17/2025,easy,https://openclassactions.com/settlements/hellofresh-automatic-renewal-california-settlement.php,https://openclassactions.com/settlements/hellofresh-automatic-renewal-california-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00013,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$17.5M Infosys McCamish Data Breach Class Action,"$17.5M Infosys McCamish Data Breach Class Action Settlement Deadline: December 1, 2025 Without Proof: N/A With Proof: Up to $6,000 Submit Claim",,12/1/2025,easy,https://openclassactions.com/settlements/infosys-mccamish-data-breach-settlement.php,https://openclassactions.com/settlements/infosys-mccamish-data-breach-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00014,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$1.9M PetSafe E-Collar California Class Action,"$1.9M PetSafe E-Collar California Class Action Settlement Deadline: December 29, 2025 Without Proof: $30 - $140+ With Proof: No Cap Submit Claim",,12/29/2025,easy,https://openclassactions.com/settlements/petsafe-ecollar-california-settlement.php,https://openclassactions.com/settlements/petsafe-ecollar-california-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00015,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Navy Federal Unauthorized Fraudulent Transactions $1.7M Class Action,"Navy Federal Unauthorized Fraudulent Transactions $1.7M Class Action Settlement Deadline: December 18, 2025 Without Proof: N/A With Proof: Varies Submit Claim",,12/18/2025,easy,https://openclassactions.com/settlements/navy-federal-unauthorized-eft-class-action-settlement.php,https://openclassactions.com/settlements/navy-federal-unauthorized-eft-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00016,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Jaguar Land Rover Turbocharger Class Action,"Jaguar Land Rover Turbocharger Class Action Settlement Deadline: December 30, 2025 Without Proof: Warranty Extension With Proof: Up to $12,000 Submit Claim",,12/30/2025,easy,https://openclassactions.com/settlements/jaguar-land-rover-turbocharger-settlement.php,https://openclassactions.com/settlements/jaguar-land-rover-turbocharger-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00017,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,JOOLA Pickleball Paddles Class Action,"JOOLA Pickleball Paddles Class Action Settlement Deadline: December 15, 2025 Without Proof: N/A With Proof: $300.00 Submit Claim",,12/15/2025,easy,https://openclassactions.com/settlements/pickleball-class-action-settlement.php,https://openclassactions.com/settlements/pickleball-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00018,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$6M Arhaus Furniture Deceptive Pricing Settlement,"$6M Arhaus Furniture Deceptive Pricing Settlement Deadline: December 19, 2025 Without Proof: Varies With Proof: Store Credit & Cash Submit Claim",,12/19/2025,easy,https://openclassactions.com/settlements/arhaus-deceptive-pricing-class-action-settlement.php,https://openclassactions.com/settlements/arhaus-deceptive-pricing-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00019,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,NaturaLawn Spam Text Messages $500K Settlement,"NaturaLawn Spam Text Messages $500K Settlement Deadline: January 6, 2026 Without Proof: N/A With Proof: $217.00 Per Spam Text Submit Claim",,1/6/2026,easy,https://openclassactions.com/settlements/natura-lawn-spam-text-messages-class-action-settlement.php,https://openclassactions.com/settlements/natura-lawn-spam-text-messages-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00020,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,"$715,000 Gotham Comedy Club Ticket Fee Class Action","$715,000 Gotham Comedy Club Ticket Fee Class Action Settlement Deadline: December 30, 2025 Without Proof: N/A With Proof: $4.50 Per Ticket Submit Claim",,12/30/2025,easy,https://openclassactions.com/settlements/gotham-comedy-club-ticket-fee-settlement.php,https://openclassactions.com/settlements/gotham-comedy-club-ticket-fee-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00021,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$42 Million Real Estate Broker Commissions Antitrust Settlement,"$42 Million Real Estate Broker Commissions Antitrust Settlement Deadline: December 30, 2025 Without Proof: N/A With Proof: Varies Submit Claim",,12/30/2025,easy,https://openclassactions.com/settlements/real-estate-commission-litigation-class-action-settlement.php,https://openclassactions.com/settlements/real-estate-commission-litigation-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00022,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Breckenridge Pharmaceutical Duloxetine Generic Cymbalta Settlement,"Breckenridge Pharmaceutical Duloxetine Generic Cymbalta Settlement Deadline: December 27, 2025 Without Proof: N/A With Proof: $2.50 - $10 Per Prescription Submit Claim",,12/27/2025,easy,https://www.openclassactions.com/settlements/breckenridge-duloxetine-generic-cymbalta-class-action-settlement.php,https://www.openclassactions.com/settlements/breckenridge-duloxetine-generic-cymbalta-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00023,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$319M Financial Aid Class Action,"$319M Financial Aid Class Action Settlement Deadline: December 27, 2025 Without Proof: N/A With Proof: $2,000 (Estimated) Submit Claim",,12/27/2025,easy,https://openclassactions.com/settlements/college-financial-aid-class-action.php,https://openclassactions.com/settlements/college-financial-aid-class-action.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00024,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Husqvarna Grass Trimmer Open Class Action,"Husqvarna Grass Trimmer Open Class Action Settlement Deadline: January 2, 2026 Without Proof: N/A With Proof: $45 Voucher Submit Claim",,1/2/2026,easy,https://openclassactions.com/settlements/husqvarna-grass-trimmer-class-action-settlement.php,https://openclassactions.com/settlements/husqvarna-grass-trimmer-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00025,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Coming Soon: Social Security SSA Class Action,Coming Soon: Social Security SSA Class Action Lawsuit Deadline: N/A Without Proof: N/A With Proof: Pending Submit Claim,,,easy,https://openclassactions.com/settlements/social-security-class-action-lawsuit.php,https://openclassactions.com/settlements/social-security-class-action-lawsuit.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00026,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$3M Washington Nationals Ticket Discount Settlement,"$3M Washington Nationals Ticket Discount Settlement Deadline: December 11, 2025 Without Proof: N/A With Proof: Cash or Credit Submit Claim",,12/11/2025,easy,https://openclassactions.com/settlements/nationals-ticket-discount-settlement.php,https://openclassactions.com/settlements/nationals-ticket-discount-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00027,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Surescripts & Allscripts Pharmacy Class Action,Surescripts & Allscripts Pharmacy Class Action Settlement Status: Open to Claims Without Proof: N/A With Proof: Varies Submit Claim,,,easy,https://openclassactions.com/settlements/surescripts-allscripts-antitrust-class-action-settlement.php,https://openclassactions.com/settlements/surescripts-allscripts-antitrust-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00028,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,New Data Breach Class Action,New Data Breach Class Actions - December 2025 Status: Open to Claims Without Proof: N/A With Proof: Varies Submit Claim,,,easy,https://openclassactions.com/investigations/hot-data-breaches.php,https://openclassactions.com/investigations/hot-data-breaches.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00029,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,First Choice Dental Data Breach $1.225M Class Action,"First Choice Dental Data Breach $1.225M Class Action Settlement Deadline: January 28, 2026 Without Proof: N/A With Proof: Varies Submit Claim",,1/28/2026,easy,https://openclassactions.com/settlements/first-choice-dental-data-breach-class-action-settlement.php,https://openclassactions.com/settlements/first-choice-dental-data-breach-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00030,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$30M 23andMe Data Breach Class Action,"$30M 23andMe Data Breach Class Action Settlement Deadline: February 17, 2026 Without Proof: N/A With Proof: $165+ Submit Claim",,2/17/2026,easy,https://openclassactions.com/settlements/23-and-me-data-breach-class-action-settlement-2026.php,https://openclassactions.com/settlements/23-and-me-data-breach-class-action-settlement-2026.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00031,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Kaiser Permanente Spam Texts $10.5M Class Action,"Kaiser Permanente Spam Texts $10.5M Class Action Settlement Deadline: February 12, 2026 Without Proof: N/A With Proof: Varies Submit Claim",,2/12/2026,easy,https://openclassactions.com/settlements/kaiser-tcpa-ftsa-spam-texts-class-action-settlement.php,https://openclassactions.com/settlements/kaiser-tcpa-ftsa-spam-texts-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00032,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Watson Clinic Data Breach $10M Class Action,"Watson Clinic Data Breach $10M Class Action Settlement Deadline: February 5, 2026 Without Proof: N/A With Proof: Up to $6,500 Submit Claim",,2/5/2026,easy,https://openclassactions.com/settlements/watson-clinic-data-breach-class-action-settlement.php,https://openclassactions.com/settlements/watson-clinic-data-breach-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00033,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$7.3M Hormel and Seaboard Pork Class Action,$7.3M Hormel and Seaboard Pork Class Action Settlement Deadline: Pending Without Proof: N/A With Proof: Pending Submit Claim,,,easy,https://openclassactions.com/settlements/hormel-seaboard-pork-class-action-settlement.php,https://openclassactions.com/settlements/hormel-seaboard-pork-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00034,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Anker Power Bank Recall,Anker Power Bank Recall Deadline: Varies Without Proof: N/A With Proof: $30.00+ Submit Claim,,,easy,https://openclassactions.com/recalls/anker-power-bank-recall.php,https://openclassactions.com/recalls/anker-power-bank-recall.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00035,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$12M Citigroup HSBC RBC Morgan Stanley Investment Bonds Settlement,"$12M Citigroup HSBC RBC Morgan Stanley Investment Bonds Settlement Deadline: December 23, 2025 Without Proof: N/A With Proof: Varies Submit Claim",,12/23/2025,easy,https://openclassactions.com/settlements/gilt-bond-antitrust-class-action-settlement.php,https://openclassactions.com/settlements/gilt-bond-antitrust-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00036,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Purpose Financial Data Breach $7.75M Class Action,"Purpose Financial Data Breach $7.75M Class Action Settlement Deadline: Feb 2, 2026 Without Proof: N/A With Proof: Up to $5,000 Submit Claim",,2/2/2026,easy,https://openclassactions.com/settlements/purpose-financial-data-breach-class-action-settlement.php,https://openclassactions.com/settlements/purpose-financial-data-breach-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00037,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Clorox® Pine-Sol® Voluntary Recall,Clorox® Pine-Sol® Voluntary Recall Deadline: Pending Without Proof: N/A With Proof: Varies Submit Claim,,,easy,https://openclassactions.com/recall_pine_sol.php,https://openclassactions.com/recall_pine_sol.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00038,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,PHH Mortgage Insurance Kickbacks Class Action,"PHH Mortgage Insurance Kickbacks Class Action Settlement Deadline: August 11, 2026 Without Proof: N/A With Proof: $875.00 Submit Claim",,8/11/2026,easy,https://openclassactions.com/settlements/phh-mortgage-insurance-kickbacks-settlement.php,https://openclassactions.com/settlements/phh-mortgage-insurance-kickbacks-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00039,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Road Runner Sports VIP Rewards Settlement,"Road Runner Sports VIP Rewards Settlement Deadline: December 14, 2025 Without Proof: N/A With Proof: Cash + Discount Submit Claim",,12/14/2025,easy,https://openclassactions.com/settlements/road-runner-sports-vip-rewards-settlement.php,https://openclassactions.com/settlements/road-runner-sports-vip-rewards-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00040,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$30M Integris Health Data Breach Class Action,"$30M Integris Health Data Breach Class Action Settlement Deadline: December 22, 2025 Without Proof: Varies With Proof: Up to $25,000 Submit Claim",,12/22/2025,easy,https://openclassactions.com/settlements/integris-health-data-breach-class-action-settlement.php,https://openclassactions.com/settlements/integris-health-data-breach-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00041,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$40M Cencora & Lash Group Data Breach Class Action,"$40M Cencora & Lash Group Data Breach Class Action Settlement Deadline: January 19, 2026 Without Proof: Varies With Proof: Varies Submit Claim",,1/19/2026,easy,https://openclassactions.com/settlements/cencora-data-security-incident-settlement.php,https://openclassactions.com/settlements/cencora-data-security-incident-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00042,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,8.4M Tide Pods Laundry Detergent Procter & Gamble Recall,8.4M Tide Pods Laundry Detergent Procter & Gamble Recall Deadline: Pending Without Proof: N/A With Proof: Up To $30.00 Per Unit Submit Claim,,,easy,https://openclassactions.com/settlements/procter-and-gamble-recall.php,https://openclassactions.com/settlements/procter-and-gamble-recall.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00043,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$4.037 Billion Maui Fires Class Action,"$4.037 Billion Maui Fires Class Action Settlement Deadline: December 22, 2025 Without Proof: N/A With Proof: Varies Submit Claim",,12/22/2025,easy,https://openclassactions.com/settlements/maui-fires-class-action-settlement.php,https://openclassactions.com/settlements/maui-fires-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00044,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Oklahoma Earthquakes Class Action,"Oklahoma Earthquakes Class Action Settlements Deadline: January 25, 2026 Without Proof: N/A With Proof: Varies Submit Claim",,1/25/2026,easy,https://openclassactions.com/settlements/oklahoma-earthquakes-class-action-settlement.php,https://openclassactions.com/settlements/oklahoma-earthquakes-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00045,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Toyota Camry Air Conditioning Class Action,Toyota Camry Air Conditioning Class Action Settlement Deadline: Pending Without Proof: N/A With Proof: Varies Submit Claim,,,easy,https://openclassactions.com/settlements/toyota-camry-class-action-settlement.php,https://openclassactions.com/settlements/toyota-camry-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00046,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$500M Packaged Bread Price Gouging Class Action,$500M Packaged Bread Price Gouging Class Action Canada Deadline: Pending Without Proof: N/A With Proof: N/A Submit Claim,,,easy,https://openclassactions.com/settlements/packaged-bread-price-fixing-class-action-settlement.php,https://openclassactions.com/settlements/packaged-bread-price-fixing-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00047,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Regal Medical Group Data Breach Class Action,"Regal Medical Group Data Breach Class Action Settlement Deadline: December 22, 2025 Without Proof: N/A With Proof: TBD Submit Claim",,12/22/2025,easy,https://openclassactions.com/settlements/regal-medical-data-breach-class-action-settlement.php,https://openclassactions.com/settlements/regal-medical-data-breach-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00048,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$950K Keurig K-Supreme Coffee Maker Settlement,"$950K Keurig K-Supreme Coffee Maker Settlement Deadline: Septmeber 30, 2027 Without Proof: N/A With Proof: $250.00 Submit Claim",,,easy,https://openclassactions.com/settlements/keurig-k-supreme-settlement.php,https://openclassactions.com/settlements/keurig-k-supreme-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00049,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Kentucky SpinX Gambling App Class Action,"Kentucky SpinX Gambling App Class Action Settlement Deadline: February 16, 2026 Without Proof: N/A With Proof: Varies Submit Claim",,2/16/2026,easy,https://openclassactions.com/settlements/cash-frenzy-lotsa-slots-jackpot-world-vegas-friends-spinx-class-action-settlement.php,https://openclassactions.com/settlements/cash-frenzy-lotsa-slots-jackpot-world-vegas-friends-spinx-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00050,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$30M Ford Focus & Ford Fiesta Transmission Class Action,"$30M Ford Focus & Ford Fiesta Transmission Class Action Settlement Deadline: Varies Without Proof: N/A With Proof: $2,325 Submit Claim",,,easy,https://openclassactions.com/settlements/ford-transmission-class-action-settlement.php,https://openclassactions.com/settlements/ford-transmission-class-action-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00051,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,"$6M YouTube ""Face Blur"" Illinois BIPA Privacy Class Action","$6M YouTube ""Face Blur"" Illinois BIPA Privacy Class Action Deadline: November 30, 2025 Without Proof: N/A With Proof: $200 Submit Claim",,11/30/2025,easy,https://openclassactions.com/settlements/youtube-face-blur-bipa-settlement.php,https://openclassactions.com/settlements/youtube-face-blur-bipa-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00052,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,SeaWorld Annual Pass Automatic Renewal $1.5M Settlement,SeaWorld Annual Pass Automatic Renewal $1.5M Settlement Deadline: Pending Without Proof: N/A With Proof: Pro Rata Share Submit Claim,,,easy,https://openclassactions.com/settlements/seaworld-annual-pass-settlement.php,https://openclassactions.com/settlements/seaworld-annual-pass-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00053,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Home Depot Point of Sale Accessibility Settlement,Home Depot Point of Sale Accessibility Settlement Deadline: N/A Without Proof: N/A With Proof: N/A Submit Claim,,,easy,https://openclassactions.com/settlements/home-depot-ada-cashback-accessibility-settlement.php,https://openclassactions.com/settlements/home-depot-ada-cashback-accessibility-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00054,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,Boohoo Website Fake Sales Class Action,Boohoo Website Fake Sales Class Action Lawsuit Deadline: N/A Without Proof: N/A With Proof: $10 Gift Card Submit Claim,,,easy,https://openclassactions.com/settlements/boohoo-nationwide-pricing-settlement.php,https://openclassactions.com/settlements/boohoo-nationwide-pricing-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
OPENCLASSACTIONS_00055,12/1/2025,OPENCLASSACTIONS,money_opportunity,no,yes,$10M Nissan Transmission Class Action,"$10M Nissan Transmission Class Action Settlement Deadline: 30 Days After Repair Without Proof: N/A With Proof: $1,500 - $5,000 Submit Claim",,12/30/2025,easy,https://openclassactions.com/settlements/nissan-cvt-settlement.php,https://openclassactions.com/settlements/nissan-cvt-settlement.php,open,high,12/1/2025,Legal settlements & enforcement,Slow,Medium,Light,MT
